date,flu_percent,ili_total,total_patients,year,week,avg_temp
2015-01-05,,,,2015,2,44.0
2015-01-12,,,,2015,3,44.0
2015-01-19,,,,2015,4,44.0
2015-01-26,,,,2015,5,44.0
2015-02-02,,,,2015,6,48.2
2015-02-09,,,,2015,7,48.2
2015-02-16,,,,2015,8,48.2
2015-02-23,,,,2015,9,48.2
2015-03-02,,,,2015,10,56.2
2015-03-09,,,,2015,11,56.2
2015-03-16,,,,2015,12,56.2
2015-03-23,,,,2015,13,56.2
2015-03-30,,,,2015,14,56.2
2015-04-06,,,,2015,15,66.6
2015-04-13,,,,2015,16,66.6
2015-04-20,,,,2015,17,66.6
2015-04-27,,,,2015,18,66.6
2015-05-04,,,,2015,19,71.6
2015-05-11,,,,2015,20,71.6
2015-05-18,,,,2015,21,71.6
2015-05-25,,,,2015,22,71.6
2015-06-01,,,,2015,23,79.3
2015-06-08,,,,2015,24,79.3
2015-06-15,,,,2015,25,79.3
2015-06-22,,,,2015,26,79.3
2015-06-29,,,,2015,27,79.3
2015-07-06,,,,2015,28,83.2
2015-07-13,,,,2015,29,83.2
2015-07-20,,,,2015,30,83.2
2015-07-27,,,,2015,31,83.2
2015-08-03,,,,2015,32,83.3
2015-08-10,,,,2015,33,83.3
2015-08-17,,,,2015,34,83.3
2015-08-24,,,,2015,35,83.3
2015-08-31,,,,2015,36,83.3
2015-09-07,,,,2015,37,79.2
2015-09-14,,,,2015,38,79.2
2015-09-21,,,,2015,39,79.2
2015-09-28,3.1748,1016.0,32002.0,2015,40,79.2
2015-10-05,3.42995,1084.0,31604.0,2015,41,69.2
2015-10-12,3.63057,1162.0,32006.0,2015,42,69.2
2015-10-19,3.84937,1152.0,29927.0,2015,43,69.2
2015-10-26,3.47839,1143.0,32860.0,2015,44,69.2
2015-11-02,3.86243,1214.0,31431.0,2015,45,57.3
2015-11-09,3.96778,1266.0,31907.0,2015,46,57.3
2015-11-16,4.81392,1071.0,22248.0,2015,47,57.3
2015-11-23,4.43529,1411.0,31813.0,2015,48,57.3
2015-11-30,4.49576,1320.0,29361.0,2015,49,57.3
2015-12-07,4.67202,1391.0,29773.0,2015,50,51.5
2015-12-14,5.12797,1110.0,21646.0,2015,51,51.5
2015-12-21,5.70737,1274.0,22322.0,2015,52,51.5
2015-12-28,,,,2015,53,51.5
2016-01-04,4.68602,1282.0,27358.0,2016,1,46.4
2016-01-11,4.16846,1164.0,27924.0,2016,2,46.4
2016-01-18,4.36048,1318.0,30226.0,2016,3,46.4
2016-01-25,4.96129,1551.0,31262.0,2016,4,46.4
2016-02-01,4.89241,1512.0,30905.0,2016,5,54.4
2016-02-08,5.62804,1816.0,32267.0,2016,6,54.4
2016-02-15,6.36256,2035.0,31984.0,2016,7,54.4
2016-02-22,4.48169,1147.0,25593.0,2016,8,54.4
2016-02-29,4.7195,1203.0,25490.0,2016,9,54.4
2016-03-07,4.01485,941.0,23438.0,2016,10,61.2
2016-03-14,3.73119,749.0,20074.0,2016,11,61.2
2016-03-21,3.46318,777.0,22436.0,2016,12,61.2
2016-03-28,3.2444,760.0,23425.0,2016,13,61.2
2016-04-04,2.83508,569.0,20070.0,2016,14,66.1
2016-04-11,3.25267,789.0,24257.0,2016,15,66.1
2016-04-18,3.57929,846.0,23636.0,2016,16,66.1
2016-04-25,3.0393,747.0,24578.0,2016,17,66.1
2016-05-02,2.74919,617.0,22443.0,2016,18,71.6
2016-05-09,2.30401,472.0,20486.0,2016,19,71.6
2016-05-16,2.35638,459.0,19479.0,2016,20,71.6
2016-05-23,2.78809,518.0,18579.0,2016,21,71.6
2016-05-30,2.47401,395.0,15966.0,2016,22,71.6
2016-06-06,1.99249,276.0,13852.0,2016,23,80.1
2016-06-13,2.1005,362.0,17234.0,2016,24,80.1
2016-06-20,1.87159,316.0,16884.0,2016,25,80.1
2016-06-27,1.84575,297.0,16091.0,2016,26,80.1
2016-07-04,1.66667,248.0,14880.0,2016,27,85.4
2016-07-11,1.55492,189.0,12155.0,2016,28,85.4
2016-07-18,1.42177,239.0,16810.0,2016,29,85.4
2016-07-25,1.57115,261.0,16612.0,2016,30,85.4
2016-08-01,1.27404,216.0,16954.0,2016,31,81.5
2016-08-08,1.30064,209.0,16069.0,2016,32,81.5
2016-08-15,1.31155,224.0,17079.0,2016,33,81.5
2016-08-22,1.76582,336.0,19028.0,2016,34,81.5
2016-08-29,2.89706,423.0,14601.0,2016,35,81.5
2016-09-05,3.0076,534.0,17755.0,2016,36,77.6
2016-09-12,2.60465,509.0,19542.0,2016,37,77.6
2016-09-19,2.57309,367.0,14263.0,2016,38,77.6
2016-09-26,2.75084,400.0,14541.0,2016,39,77.6
2016-10-03,2.08692,654.0,31338.0,2016,40,70.9
2016-10-10,1.95234,571.0,29247.0,2016,41,70.9
2016-10-17,1.84806,541.0,29274.0,2016,42,70.9
2016-10-24,2.06247,589.0,28558.0,2016,43,70.9
2016-10-31,2.01191,581.0,28878.0,2016,44,70.9
2016-11-07,2.08512,607.0,29111.0,2016,45,61.0
2016-11-14,2.24903,673.0,29924.0,2016,46,61.0
2016-11-21,2.59299,550.0,21211.0,2016,47,61.0
2016-11-28,2.49507,696.0,27895.0,2016,48,61.0
2016-12-05,3.06871,816.0,26591.0,2016,49,49.6
